bank_id,bank,date,npl_ratio,npl_pred,error
628,JPMorgan Chase Bank NA,2005-09-30,0.9433645289767985,1.0683851869740524,0.12502065799725393
628,JPMorgan Chase Bank NA,2005-12-31,0.9665518811688678,1.0785835779006763,0.11203169673180846
628,JPMorgan Chase Bank NA,2006-03-31,0.9045871289894203,1.1154998062690988,0.21091267727967855
628,JPMorgan Chase Bank NA,2006-06-30,0.9333276156506429,1.060407032135978,0.12707941648533505
628,JPMorgan Chase Bank NA,2006-09-30,0.9301978350130645,1.0919836605010405,0.16178582548797593
628,JPMorgan Chase Bank NA,2006-12-31,0.9175280742470534,1.1064882408924057,0.1889601666453523
628,JPMorgan Chase Bank NA,2007-03-31,0.9444970924496264,1.076473422227612,0.13197632977798557
628,JPMorgan Chase Bank NA,2007-06-30,0.8886404599484383,1.0795483019019505,0.19090784195351218
628,JPMorgan Chase Bank NA,2007-09-30,1.0677505587449054,1.0626359176382856,-0.005114641106619855
628,JPMorgan Chase Bank NA,2007-12-31,1.2820171549907755,1.244236788590995,-0.03778036639978044
628,JPMorgan Chase Bank NA,2008-03-31,1.5182328264179634,1.4328181179956956,-0.08541470842226784
628,JPMorgan Chase Bank NA,2008-06-30,1.6537290425311162,1.6443305660951903,-0.00939847643592584
628,JPMorgan Chase Bank NA,2008-09-30,2.456884443467642,1.8524840556487572,-0.6044003878188846
628,JPMorgan Chase Bank NA,2008-12-31,3.534132199458832,2.6443241943809426,-0.8898080050778896
628,JPMorgan Chase Bank NA,2009-03-31,4.886903970547926,3.726769611144701,-1.1601343594032247
628,JPMorgan Chase Bank NA,2009-06-30,6.153725844571111,5.039685718337792,-1.114040126233319
628,JPMorgan Chase Bank NA,2009-09-30,7.64020546724353,6.219438607589968,-1.420766859653562
628,JPMorgan Chase Bank NA,2009-12-31,8.529406825988236,7.621027923897808,-0.908378902090428
628,JPMorgan Chase Bank NA,2010-03-31,8.592660462685963,8.42064031777886,-0.17202014490710305
628,JPMorgan Chase Bank NA,2010-06-30,8.269460944295346,8.454674073211088,0.18521312891574127
628,JPMorgan Chase Bank NA,2010-09-30,8.093370182163977,8.153071468211666,0.059701286047689095
628,JPMorgan Chase Bank NA,2010-12-31,8.118783959089287,7.938462446473407,-0.1803215126158797
628,JPMorgan Chase Bank NA,2011-03-31,7.444368593064373,7.942697508235039,0.49832891517066624
628,JPMorgan Chase Bank NA,2011-06-30,6.760124042320322,7.347497938389863,0.5873738960695416
628,JPMorgan Chase Bank NA,2011-09-30,6.374435305340078,6.704945997321832,0.330510691981754
628,JPMorgan Chase Bank NA,2011-12-31,6.104875176921047,6.269757564420304,0.1648823874992562
628,JPMorgan Chase Bank NA,2012-03-31,6.024650808721015,5.9937133672415,-0.030937441479514938
628,JPMorgan Chase Bank NA,2012-06-30,5.721155706769106,5.875919880244048,0.1547641734749421
628,JPMorgan Chase Bank NA,2012-09-30,5.795708496690073,5.5797104017807095,-0.21599809490936384
628,JPMorgan Chase Bank NA,2012-12-31,5.373051453616834,5.630307261621702,0.25725580800486814
628,JPMorgan Chase Bank NA,2013-03-31,5.0327806581783925,5.221893433155186,0.18911277497679357
628,JPMorgan Chase Bank NA,2013-06-30,4.67797833218032,4.90209450401207,0.22411617183175014
628,JPMorgan Chase Bank NA,2013-09-30,3.9236743601136554,4.541337549069661,0.6176631889560058
628,JPMorgan Chase Bank NA,2013-12-31,3.5705290079244625,3.894059598218628,0.3235305902941654
628,JPMorgan Chase Bank NA,2014-03-31,3.3809048025430464,3.5194192611718744,0.13851445862882805
628,JPMorgan Chase Bank NA,2014-06-30,3.2617281175653066,3.3218396367398464,0.06011151917453983
628,JPMorgan Chase Bank NA,2014-09-30,3.1533109366790324,3.225970977223769,0.0726600405447364
628,JPMorgan Chase Bank NA,2014-12-31,3.0368242246812973,3.05112083614035,0.014296611459052588
628,JPMorgan Chase Bank NA,2015-03-31,2.8743510247139605,2.9214950407698383,0.04714401605587781
628,JPMorgan Chase Bank NA,2015-06-30,2.614394493033782,2.7649465349713824,0.1505520419376003
628,JPMorgan Chase Bank NA,2015-09-30,2.4320620983575703,2.4993731223374303,0.06731102397986
628,JPMorgan Chase Bank NA,2015-12-31,2.2658531138247917,2.3421185312357298,0.07626541741093806
628,JPMorgan Chase Bank NA,2016-03-31,2.249463502753281,2.180395615024372,-0.06906788772890904
628,JPMorgan Chase Bank NA,2016-06-30,2.034431243107103,2.1606610895324896,0.1262298464253866
628,JPMorgan Chase Bank NA,2016-09-30,1.9692987565625157,1.933728958021975,-0.035569798540540765
628,JPMorgan Chase Bank NA,2016-12-31,1.8824576983723362,1.8612969430683908,-0.021160755303945455
628,JPMorgan Chase Bank NA,2017-03-31,1.714923007590373,1.7884168822843498,0.07349387469397684
628,JPMorgan Chase Bank NA,2017-06-30,1.553473536330208,1.6504000437542108,0.09692650742400288
628,JPMorgan Chase Bank NA,2017-09-30,1.488729205141143,1.4830510988707468,-0.0056781062703961105
628,JPMorgan Chase Bank NA,2017-12-31,1.5434770911901234,1.4038482809211907,-0.1396288102689327
628,JPMorgan Chase Bank NA,2018-03-31,1.4456155716473593,1.4451886725736265,-0.00042689907373283376
628,JPMorgan Chase Bank NA,2018-06-30,1.2540124015918177,1.3657570754864055,0.11174467389458775
628,JPMorgan Chase Bank NA,2018-09-30,1.1073751703812422,1.2056911193541104,0.09831594897286822
628,JPMorgan Chase Bank NA,2018-12-31,1.0730801425284622,1.0810341013822864,0.007953958853824217
628,JPMorgan Chase Bank NA,2019-03-31,1.0756630787726653,1.0644468062761971,-0.011216272496468171
628,JPMorgan Chase Bank NA,2019-06-30,0.9809046332136213,1.0362215375694293,0.05531690435580794
628,JPMorgan Chase Bank NA,2019-09-30,0.9701111293987384,0.9040832094593404,-0.06602791993939805
628,JPMorgan Chase Bank NA,2019-12-31,0.8029203226838675,0.8605621118158283,0.05764178913196083
628,JPMorgan Chase Bank NA,2020-03-31,0.8251035521526296,0.7087254731470464,-0.11637807900558328
628,JPMorgan Chase Bank NA,2020-06-30,1.065146235877943,1.2091756570618903,0.14402942118394724
628,JPMorgan Chase Bank NA,2020-09-30,1.368391139579215,1.249381434816549,-0.11900970476266592
628,JPMorgan Chase Bank NA,2020-12-31,1.2902156387034553,1.5646215386740359,0.2744058999705805
628,JPMorgan Chase Bank NA,2021-03-31,1.1770435184429047,1.0126257069252595,-0.16441781151764512
628,JPMorgan Chase Bank NA,2021-06-30,1.0363785669496477,1.1090366541647674,0.07265808721511968
628,JPMorgan Chase Bank NA,2021-09-30,0.9435313842525996,0.9333969468915994,-0.010134437361000281
628,JPMorgan Chase Bank NA,2021-12-31,0.9300776249897074,0.7796961482900672,-0.1503814766996402
628,JPMorgan Chase Bank NA,2022-03-31,0.9004725977845218,0.7928967266001549,-0.10757587118436696
628,JPMorgan Chase Bank NA,2022-06-30,0.8312203584935183,0.7843614233693271,-0.04685893512419115
628,JPMorgan Chase Bank NA,2022-09-30,0.7817881846334168,0.8804209795506915,0.09863279491727472
628,JPMorgan Chase Bank NA,2022-12-31,0.7622037999003771,0.8519745816180212,0.08977078171764408
628,JPMorgan Chase Bank NA,2023-03-31,0.7963433287472967,0.896011333427165,0.09966800467986825
628,JPMorgan Chase Bank NA,2023-06-30,0.7389424867054872,0.9063744367701986,0.16743195006471134
628,JPMorgan Chase Bank NA,2023-09-30,0.7514530636726757,0.8674815888394777,0.11602852516680195
628,JPMorgan Chase Bank NA,2023-12-31,0.7252129754362854,0.9314916664522553,0.20627869101596996
628,JPMorgan Chase Bank NA,2024-03-31,0.7950540252742517,0.9135786044729132,0.11852457919866144
628,JPMorgan Chase Bank NA,2024-06-30,0.7893703114690953,0.9526194282813035,0.16324911681220822
628,JPMorgan Chase Bank NA,2024-09-30,0.8293916415318767,0.9947388912881284,0.1653472497562517
628,JPMorgan Chase Bank NA,2024-12-31,0.8874186763744619,0.9738341079808869,0.08641543160642495
3510,Bank of America NA,2005-09-30,0.3252957006140651,0.5417023930053434,0.2164066923912783
3510,Bank of America NA,2005-12-31,0.31363699244851573,0.5079090111541089,0.19427201870559319
3510,Bank of America NA,2006-03-31,0.3302685495286067,0.5119906056227853,0.18172205609417863
3510,Bank of America NA,2006-06-30,0.2998688728223532,0.5309573094887018,0.2310884366663486
3510,Bank of America NA,2006-09-30,0.2988217809569557,0.506807534552689,0.2079857535957333
3510,Bank of America NA,2006-12-31,0.33341491426015224,0.523274584234983,0.18985966997483072
3510,Bank of America NA,2007-03-31,0.34647734236484484,0.5377944936823053,0.1913171513174604
3510,Bank of America NA,2007-06-30,0.37681103888081985,0.5277655162786393,0.15095447739781948
3510,Bank of America NA,2007-09-30,0.533548854955171,0.5920682785748205,0.05851942361964946
3510,Bank of America NA,2007-12-31,0.7494563095168579,0.7525882667779918,0.003131957261133911
3510,Bank of America NA,2008-03-31,1.0094606594783695,0.9427157388894506,-0.0667449205889189
3510,Bank of America NA,2008-06-30,1.2404769087704839,1.1766437066378543,-0.06383320213262955
3510,Bank of America NA,2008-09-30,1.8278675413583245,1.4748035064409843,-0.3530640349173402
3510,Bank of America NA,2008-12-31,3.405567453178451,2.063333511847188,-1.3422339413312634
3510,Bank of America NA,2009-03-31,4.601023127271377,3.617343379580201,-0.983679747691176
3510,Bank of America NA,2009-06-30,5.166024888909579,4.782024179872184,-0.38400070903739536
3510,Bank of America NA,2009-09-30,5.986674970562045,5.300468266432078,-0.6862067041299671
3510,Bank of America NA,2009-12-31,8.001362948421093,6.074661860105624,-1.9267010883154692
3510,Bank of America NA,2010-03-31,8.40058447929599,7.9347941726925795,-0.46579030660341036
3510,Bank of America NA,2010-06-30,8.064922222841918,8.28540267701071,0.2204804541687917
3510,Bank of America NA,2010-09-30,8.201777656450158,7.972056723193593,-0.22972093325656484
3510,Bank of America NA,2010-12-31,7.814902676039974,8.052329638235939,0.23742696219596482
3510,Bank of America NA,2011-03-31,7.933562189418028,7.66807457316082,-0.2654876162572082
