,coef,std_err,t_stat,p_value,ci_low,ci_high
npl_lag1,0.9396,0.0108,87.323,0.0,0.9185,0.9607
real_gdp_growth_lag2,-0.0065,0.0018,-3.6817,0.0002,-0.01,-0.0031
unemployment,0.0502,0.0095,5.2622,0.0,0.0315,0.0689
mortgage_rate_lag1,0.0962,0.0109,8.8574,0.0,0.0749,0.1175
